codigo_ocorrencia,codigo_ocorrencia1,codigo_ocorrencia2,codigo_ocorrencia3,codigo_ocorrencia4,ocorrencia_classificacao,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_hora,investigacao_aeronave_liberada,investigacao_status,total_recomendacoes,total_aeronaves_envolvidas,ocorrencia_saida_pista
79077,79077,79077,79077,79077,INCIDENTE,SÃO PAULO,SP,****,19/12/2019,22:35:00,SIM,FINALIZADA,0,1,NÃO
78274,78274,78274,78274,78274,INCIDENTE,CAMPINAS,SP,****,26/10/2018,22:33:00,SIM,FINALIZADA,0,1,NÃO
67086,67086,67086,67086,67086,INCIDENTE,GUARULHOS,SP,SBGR,01/08/2017,22:32:00,SIM,FINALIZADA,0,1,NÃO
53133,53133,53133,53133,53133,INCIDENTE,CAMPINAS,SP,****,26/02/2015,22:31:00,***,FINALIZADA,0,1,NÃO
79978,79978,79978,79978,79978,INCIDENTE,CAMPINAS,SP,SBKP,12/03/2021,22:30:00,SIM,FINALIZADA,0,1,NÃO
77694,77694,77694,77694,77694,INCIDENTE GRAVE,SÃO PAULO,SP,SBSP,26/02/2018,22:30:00,SIM,ATIVA,0,1,SIM
51551,51551,51551,51551,51551,INCIDENTE,ITÁPOLIS,SP,SDIO,11/06/2014,22:30:00,***,FINALIZADA,0,1,NÃO
47675,47675,47675,47675,47675,ACIDENTE,SANTA CRUZ DAS PALMEIRAS,SP,****,16/04/2013,22:30:00,***,FINALIZADA,0,1,NÃO
78590,78590,78590,78590,78590,INCIDENTE GRAVE,CAMPINAS,SP,SBKP,12/03/2019,22:30:00,NULL,FINALIZADA,6,1,NÃO
47436,47436,47436,47436,47436,INCIDENTE,RIBEIRÃO PRETO,SP,SBRP,18/03/2013,22:28:00,***,FINALIZADA,0,1,NÃO
66100,66100,66100,66100,66100,ACIDENTE,NOVO HORIZONTE,SP,SDNH,10/12/2016,22:20:00,SIM,NULL,0,1,NÃO
